區域,機關/單位,服務時間及員額,服務內容,聯絡方式與窗口,備註,新增日期
中西區,西賢里社區關懷照顧據點,週六:09:00-11:00,關懷訪視、電話問安、協助文書整 理、活動規劃,,,2013/3/4
中西區,紅十字會台南區支會,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"洪西川總幹事,電話: (06)2133396",社區關懷照顧據點 113.12.12確認即日起暫不提供,2013/3/4
中西區,財團法人俊逸文教基金會,"該會網站公告:http://www.e- go.org.tw→點選志工媒合。P.S部 分職缺名額有限,一律線上報名, 審核錄取後個別發錄取信通知。如 適逢無職缺公告,請靜候更新。",1.活動辦理支援協助。2.文書電腦 繕打、資料建檔及整理,"洪碧娟,電話:(06)2157524#43","服務時間及員額視實際需求而定 ,不接受電話報名 113.12.12確認即日起暫不提供 國中生服務學習",2013/3/4
中西區,溫陵社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳再發執行長,電話: (06)2233732",,2013/3/4
中西區,銀同社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"鄭雀燕理事長,電話: (06)2284281",,2013/3/4
中西區 北區 東區,台南市基督教青年會(YMCA)協進會 館、公園會館、長榮兒少中心,以寒暑假期間為主,1.協助營會活動進行。2.活動行政 支援,協進會館:06-2207302#102周小 姐。公園會館:06-2824000#10 康小姐。長榮兒少中心:06- 2363005王小姐,財團法人台南市基督教青年會 108年7月3日南基青字第108041 號函,2013/3/4
仁德區,二行里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"吳權國里長,電話:06- 3663909/0909883111",社區關懷照顧據點,2013/3/4
仁德區,文賢里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林江溪里長,電話:06- 2667913/0925867193",107年起里鄰調整,2013/3/4
仁德區,上崙里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李紫瑀里長,電話:06- 2665646/0935485931",社區關懷照顧據點,2013/3/4
仁德區,中洲里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"葉清仁里長,電話:06- 2662545/0937349929",107年起里鄰調整,2013/3/4
仁德區,仁義社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"梁敬河理事長,電話: (06)2796202",社區關懷照顧據點,2013/3/4
仁德區,仁德社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林秀微理事長,電話: (06)2496517",社區關懷照顧據點,2013/3/4
仁德區,成功社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"黃銘輝理事長,電話: (06)3367650",社區關懷照顧據點,2013/3/4
仁德區,和愛社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"張長壽理事長,電話: (06)2688331",社區關懷照顧據點,2013/3/4
仁德區,保安里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"顏榮成里長,電話: (06)3661605",社區關懷照顧據點,2013/3/4
仁德區,後壁社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王清標理事長,電話: (06)2708569",社區關懷照顧據點,2013/3/4
六甲區,戶政事務所,電洽,引導民眾辦理戶籍登記及代填書表,"侯小姐,電話:(06)6982408",視實際需求而定,2013/3/4
北門區,三慈社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳錦文理事長,電話: (06)7850199、0921-023150",社區關懷照顧據點,2013/3/4
北門區,中樞里(功能性據點),電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"楊洪秋芳理事長,電話: (06)7862034、謝阿桃0936- 357088",107年起里鄰調整,2013/3/4
北門區,戶政事務所,(學生寒暑假期間)本所上上班日: 上午8-12時;下午1時30分-5時30 分,便民服務及周圍綠地環環境淨化,電話:(06)7862244總機9洽詢,原則2名為限,2013/3/4
北門區,永隆社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"潘江益里長,電話: (06)7862235、0932-818327",社區關懷照顧據點,2013/3/4
北門區,蚵寮社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"涂耀明理事長,電話: (06)7863034、0931-870438",社區關懷照顧據點,2013/3/4
北門區,錦湖社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳國庸里長,電話:06- 7864990/0932759411",社區關懷照顧據點,2013/3/4
北門區,雙春社區(功能性據點),電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李連興里長,電話: (06)7865378、0937-305823",社區關懷照顧據點,2013/3/4
北區,台南區循理疼厝邊服務協會(功能性 據點),電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李金枝,電話:(06)2201631",社區關懷照顧據點 113.12.12確認即日起暫不提供,2013/3/4
北區,好鄰居全人關懷協會,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳玟霖,(06)2519670-111",社區關懷照顧據點,2013/3/4
北區,社團法人台南區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"謝昇樺,電話: (06)2519670*111",社區關懷照顧據點,2013/3/4
北區,財團法人台灣省台南區美好基教會,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"張連金總幹事,電話: (06)2591634",社區關懷照顧據點,2013/3/4
北區,衛生所,電洽,1.協助繕打電腦。2.門診健康檢查 路線引導。3.協助環境整理,"志工管理顏小姐,電話:(06) 2252404#209",視實際需求而定,2013/3/4
左鎮區,公館社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"羅忠掌理事長,電話: (06)5730036",社區關懷照顧據點,2013/3/4
左鎮區,左中社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林榮昭里長,電話: (06)5731254",社區關懷照顧據點,2013/3/4
左鎮區,榮和里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"胡添丁里長,電話:06- 5732821/0932803642",社區關懷照顧據點,2013/3/4
永康區,二王社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"謝文奇理事長,電話: (06)2010500",社區關懷照顧據點,2013/3/4
永康區,中華社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林義泰理事長,電話: (06)3122418",社區關懷照顧據點,2013/3/4
永康區,中興社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"楊家銘里長,電話:06- 3128094/0931960908",社區關懷照顧據點,2013/3/4
永康區,六合社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李信輝里長,電話:06- 3037611/0920786220",社區關懷照顧據點,2013/3/4
永康區,正強里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"遊國生里長,電話:06- 2327333/0921217878",社區關懷照顧據點,2013/3/4
永康區,光復里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蔡金山里長,電話:0932705998",社區關懷照顧據點,2013/3/4
永康區,西勢社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林進旺理事長,電話: (06)2734869",社區關懷照顧據點,2013/3/4
永康區,尚頂里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"周三貴里長,電話: (06)2432607",社區關懷照顧據點,2013/3/4
永康區,南灣里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"詹瑞美里長,電話: (06)2722316",社區關懷照顧據點,2013/3/4
永康區,建國里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"鐘國寶理事長,電話: (06)3116676",社區關懷照顧據點,2013/3/4
永康區,烏竹社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"黃進祥理事長,電話: (06)2015069",社區關懷照顧據點,2013/3/4
永康區,神洲里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"歐煌崇里長,電話: (06)3126681",社區關懷照顧據點,2013/3/4
永康區,崑山里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李忠信里長,電話: (06)2737793",社區關懷照顧據點,2013/3/4
永康區,勝利社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"卓進鏞理事長,電話: (06)3121383",社區關懷照顧據點,2013/3/4
永康區,復國里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林水池里長,電話:0928302107",社區關懷照顧據點,2013/3/4
永康區,復華里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王松俊里長,電話: (06)2024239",社區關懷照顧據點,2013/3/4
永康區,復興里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李鎮國理事長,電話: (06)3124645",社區關懷照顧據點,2013/3/4
永康區,龍潭社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳舒奕理事長,電話: (06)2035979",社區關懷照顧據點,2013/3/4
永康區,鹽行社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"盧文良理事長,電話: (06)2424669",社區關懷照顧據點,2013/3/4
永康區,鹽洲社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"葉水明理事長,電話: (06)2540427",社區關懷照顧據點,2013/3/4
玉井區,三和里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李寶雄里長,電話:06- 5743530/0939793373",社區關懷照顧據點,2013/3/4
玉井區,中正里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王清風里長,電話:06- 5743327/0937348752",社區關懷照顧據點,2013/3/4
玉井區,玉田里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"楊秀慧里長,電話:06- 5741124/0931750772",社區關懷照顧據點,2013/3/4
玉井區,竹圍里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"劉木圍里長,電話: (06)5742336",社區關懷照顧據點,2013/3/4
玉井區,沙田里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王美華里長,電話:0933298914",社區關懷照顧據點,2013/3/4
白河區,大竹社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳國禎理事長,電話: (06)6830968",社區關懷照顧據點,2013/3/4
白河區,大林社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"吳協益理事長,電話: (06)6830370、0987-249976",社區關懷照顧據點,2013/3/4
白河區,內角社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"魏豐勝,電話:(06)6817087",社區關懷照顧據點,2013/3/4
白河區,六溪社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"卓武雄理事長,電話: (06)6832617",社區關懷照顧據點,2013/3/4
白河區,仙草社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"詹宗梧理事長,電話: (06)6852981",社區關懷照顧據點,2013/3/4
白河區,外角社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"高新德理事長,電話: (06)6856818",社區關懷照顧據點,2013/3/4
白河區,玉豐社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李秋安理事長,電話: (06)6830910",,2013/3/4
白河區,竹門社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳新店理事長,電話: (06)6830300",,2013/3/4
白河區,汴頭社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林恆隆理事長,電話: (06)6857495",,2013/3/4
白河區,昇安社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"黃火明理事長,電話: (06)6851421",,2013/3/4
白河區,河東社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"吳國典理事長,電話: (06)6855709",,2013/3/4
白河區,虎山社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,吳昕璨理事長,,2013/3/4
白河區,草店社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"黃有祥理事長,電話: (06)6816608",,2013/3/4
白河區,詔安社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"徐福裕理事長,電話: (06)6876432",,2013/3/4
白河區,關嶺社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蔡宗羲理事長,電話: (06)6823210",,2013/3/4
全區,中國青年救國團,電洽,環境整理(淨山、淨灘)、社區服 務、弱勢關懷、活動支援、行政事 務、寒暑期營隊等,"服務組陳秀春,電話:待來文更 新113.12.12",視實際需求而定,2013/3/4
安平區,王城西社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"盧守貞總幹事,電話: (06)3915554、(06)3585836",,2013/3/4
安平區,平安社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蔡玉芬理事長,電話: (06)2258366",,2013/3/4
安平區,沙灘社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"何文振理事長,電話: (06)3914920",,2013/3/4
全區,財團法人虹橋傳道會,寒暑假週二至週五: 10:00-17:00 例假日:10:00-17:00 員額視本會各梯次活動內容訂定之,1.關懷訪視 2.電話問安 3.協助文書整理 4.參與活動舉辦 5.環境整理,聯絡人:陳盈夙幹事 電話:06-263-9909,社區關懷照顧據點(112/9/23更 新聯絡資訊),2013/3/4
安平區,區公所/民政課,每週日上午9時-11時/每週2人,協助室內植栽區植栽培育工作,"陳昭文小姐,電話: 2951915#1108",視實際需求而定,2013/3/4
安平區,區公所/行政及役政課,電洽,暑、寒假弱勢學童課後照顧,"陳美月小姐,電話: 2951915#1403",服務時間及員額視實際需求而定,2013/3/4
安平區,區公所/行政及役政課,電洽,區政園區暨認養綠地環境打掃,"凃秀惠小姐,電話: 2951915#1401","僅接受團體或整班,不接受個人 報名",2013/3/4
安平區,區公所/經建課,電洽,公園環境整理,"高碩辰先生,電話: 2951915#1302",服務時間及員額視實際需求而定,2013/3/4
安平區,國平社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林志忠理事長,電話: (06)2951802",社區關懷照顧據點,2013/3/4
安平區,菩薩社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林進南總幹事,電話: (06)2241741",社區關懷照顧據點,2013/3/4
安平區,華平社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"馬郭嬌英理事長,電話: (06)2984636、(06)2991516",社區關懷照顧據點,2013/3/4
